description,location,name,category,datetime
"Andy was the best we had ever met. When Andy went missing in the Spring of '05 it was easy to assume ascension rather than departure. And we learned to say to one another: ""Anywhere Andy goes, that is the house of Andy.""Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Cheer Up Charlie's, Austin, TX",Electronic Concert,Concert,2025-10-22 18:15:00
"Hatched in the tradition of Southern culture—unhurried in his art, yet weirdly ahead of the curve by the time he arrives— Andy Jenkins is a joyously idiosyncratic songwriting talent, ripened over years of relative obscurity. 'Sweet Bunch' springs into the world fully-formed, sitting at the crossroads of modernism and timelessness, sensitivity and decision, with the expansiveness and musical drawl of Big Star, the bounce of John Prine, and the curly, perfectly-carved melodies of George Harrison. Each song paints a wild landscape, the mood of a sun setting on a damn good day among friends and favored creatures.
 
Andy is a kind of unheard counterpoint, originating from the same small scene of independent Virginia youth culture that produced artists like Justin Frye (PC Worship) Natalie Prass, and Matthew E. White, all friends from his teenage years. Produced by longtime collaborator White, with the Spacebomb crew and another old friend, Phil Cook, running hard into midnight, 'Sweet Bunch' was essentially recorded in three days of flow-state, with the drums, bass, keys, and guitars all live and nothing to regret. Backed by some ringers and a very full chorus, Andy’s warm words come bu
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Other Artists to Tour With, Sync/Music Supervisors","Antone’s, Richmond, VA",Americana Concert,Concert,2025-10-13 23:45:00
"In Donald Trump’s America, being a Latina from East LA, living in the South (Richmond, Virginia) is just about as close to the political bone as you can get. Angelica Garcia lends her astonishing voice to her poetically woven musings and statements of intent. In a time when music should stand up and isn’t, she’s an old head on young shoulders and a total anomaly.
After an unhappy period with a major label, 24-year-old Garcia has had a fantastic grounding in what not to do and has spent the past 2 years plotting her own sound and vision. The first fruits of her labour, the single ‘Karma The Knife” drifted out recently winning over people drawn to her beat-driven, sharp and persistently melodic pop music.  She’s extremely hard to compare, but there’s certainly elements of Beck, The Beastie Boys, Jack White and Kimbra all through Garcia’s particular kaleidoscopic worldview. 
An album is close to completion and is expected in early 2019.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Gear Endorsement","Antone’s, Richmond, VA",Rock Concert,Concert,2025-08-30 10:30:00
"Angie McMahon is an Australian musician who loves honest songwriting and romantic melodies, with songs that ruminate on life, love and takeaway food. Angie loves to write and perform across the full dynamic spectrum, shifting between gravelly intimacy and pounding rock. Having recently completed her first Australian headline tour, she’s working on an album release in 2019, drawing inspiration from artists like Bruce Springsteen, Lianne La Havas and Big Thief. Angie will play her first shows in the US supporting the Pixies, followed by SXSW.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Augustine, Melbourne, AUSTRALIA",Rock Concert,Concert,2025-09-08 20:00:00
"Loaded with pulsating hooks and enigmatic tenacious vocals, Annabel Allum oozes charisma and showcases an adept ability to marry folk-style storytelling with snarling fuzzy indie. The Guildford-based singer-songwriter
has been backed across tastemaker platforms as one of the most vitally sarcastic voices in the indie scene, with praise coming from key press voices in The Independent, the Fader and The Line of Best Fit as well as on the airwaves. ‘Beat the Birds’, taken from 2018’s ‘Sorry I’m Not Perceptible’ EP, found its place on the Radio 1 BBC Introducing Playlist and she earned herself a spot on the lineup of BBC Music’s The Biggest Weekend in Swansea. Huw Stephens is a vocal supporter of Annabel’s music and premiered her latest single ‘Fear Naught’ ahead of her Maida Vale live session. 'Fear Naught' also featured on Spotify's New Music Friday editorial playlist.
2018 saw Annabel perform at the likes of Boardmasters, Siren Festival, Neverworld and Reading Festival, and she embarked on her first UK headline tour on which she played her biggest headline show to date at The Moth Club in London. 2019 started with Allum heading into the studio to work on new material.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors","Seven Grand, Guildford, UK-ENGLAND",Singer-Songwriter Concert,Concert,2025-09-18 19:15:00
"Anna Shoemaker is a NY-based, Philly-born, singer/songwriter. The 23-year-old budding alt-pop artist became a SoundCloud sensation with her viral mashup of Kendrick Lamar’s “Bitch Don’t Kill My Vibe” and Chance the Rapper’s “Cocoa Butter Kisses,” which she recorded on her bedroom floor. The song now has over 800K streams and caught the attention of key press tastemakers and fashion mogul Steve Madden. She was chosen as Steve Madden’s 2018 Emerging Artist of the Year and soon after, signed to 5Towns Records. 
Anna’s debut EP, East Side, produced by GRAMMY-nominated producer JT Daly (K.Flay's ""Blood In The Cut”) was released in the fall of 2018. The EP includes past singles ""What Am I Doing to Me?"" & ""Liquor Store,"" which have landed her a spot as Facebook’s Artist of the Day and got her featured on Alt Nation’s (SiriusXM) Advanced Placement as well as praise from Billboard and numerous other press outlets. The East Side EP also includes new tracks “Too High”, “Want Something (Say Something)” &“East Side”. Now Anna is back in the studio with JT Daly in Nashville and recording her follow up EP. Stay tuned for what the up and coming indie pop darling has in store!
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Other Artists to Tour With, Booking Agent - US, Booking Agent - Worldwide","CU29, New York, NY",Pop Concert,Concert,2025-09-20 17:00:00
"Listen to any of Apre’s music – be it Without Your Love’s shimmering, celestial bounce; the liquid grooves and clean lines of All Yours; or the widescreen pop cloudburst that is Don’t You Feel Like Heaven? -  and it’s likely your first impression wouldn’t be that all these songs have their roots in the backroom of a West London chess club. But that’s exactly where Apre’s story begins.  

Charlie Brown and Jules Konieczny were no strangers to making music individually, but it wasn’t until Sue who runs Ealing chess club (or, to use her full title “this legend called Sue”) suggested they should hook up and work together that the strands that make up Apre’s unique sound started to fuse together.

“She knew that we shared this passion for music and she paired us up,” recalls Brown, “we started playing together and found this love for the same thing.”

However, things didn’t quite immediately leap forwards from that moment to where we are today. Three years passed and Brown and Konieczn would spend their days playing in other groups, producing, working on other people’s material, making ends meet and trying to find their way in music. But something special kept bringing them back to t
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Other Artists to Tour With, PR/Publicity Agency, Producer/Studio Engineer, Sync/Music Supervisors","Augustine, London, UK-ENGLAND",Pop Concert,Concert,2025-08-25 10:45:00
"Aramide is an Afro-Soul/Jazz artiste and Recording Academy voting member who discovered the talents of singing and writing as a teenager and decided to nurture them.
After secondary school, she learnt to play the saxophone and guitar, two instruments she is quite passionate about.
Aramide sings about love, betrayal, friendship, trust, and the attendant joys and aches of womanhood. Her musical influences include Erykah Badu, Miriam Makeba, Sade, Angelique Kidjo and other greats.
Her approach to song-writing and her soft but deep and powerful voice are some of the things that stand her out.
Her debut album SUITCASE was released in November 2016 and features singles like 'FunMi Lowo' ft. Sound Sultan, Koker, and 'Love Me' which has topped various charts for several weeks and are currently receiving massive airplay on radio stations within and outside Nigeria. 
Ever the avid performer, Aramide has performed at the various events in Nigeria, Ghana, United Kingdom, Dubai, United States and Canada.
Aramide winner of  the Best Alternative Song for her single ""Funmi Lowo"" at the 2018 edition of the Headies Award, Best Female Artist in West Africa at the 2016 edition of the All Africa 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors","Palm Door on Sixth Patio, Lagos, NIGERIA",World Concert,Concert,2025-08-31 23:30:00
"Ari Chi is a singer, songwriter, instrumentalist & producer born in Atlanta and raised in Tampa, FL. Ari has been cultivating her passion for music since her formal training in high school, and took that to new heights when she decided to pick up the ukulele after a short stint with a guitar--unlike the guitar, she could take the ukulele everywhere. 
Ari began uploading acoustic covers to YouTube in 2013, and developed her skill by practicing daily. That work paid off when Ari’s cover of “Timmy Turner” went viral and landed her some groove time with Desiigner on MTV’s “Critique My Cover”. 
Ari's inspirations include the likes of Ms. Lauryn Hill, Alicia Keys, and Erykah Badu. However, her eclectic style is genre-bending--mixing folk, soul, r&b, and trap to produce a sound all her own. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Other Artists to Tour With, Booking Agent - US, PR/Publicity Agency, Producer/Studio Engineer, Sync/Music Supervisors","Palm Door on Sixth Patio, Tampa, FL",R & B Concert,Concert,2025-08-25 18:30:00
"Aries is the solo electronic project of Isabel Fernandez, known as a composer and recording artist in band Charades, touring background vocalist for Delorean, as well as for her singing on Cartoon Network’s ""Adventure Time"". Isabel has been disobeying music all her life but it was in 2011, when she started her solo career, when we discovered that inside her head there was a melodic, kaleidoscopic, punk and unpredictable universe. A world in which Brian Wilson –in the melodies– and Leon Tolstoi –in the law-breaking final message– could happily walk hand in hand dancing to electronic rhythms. She called this personal project Aries (her zodiac sign) and under this identity she has already produced four albums. The latest one, “Juramento Mantarraya”, released by Spanish label La Castanya and K Records, is full of beautiful melodies, seemingly convoluted but at the same time very simple, where violins and flutes are mixed with abstract sounds. Aries creates an orchestra that generates an exciting mixture of free-jazz, soul and folk rhythms, melodies from the girl groups of the 60s, sunshine pop and experimental electronics.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Gear Endorsement, Distribution - Worldwide, Booking Agent - Worldwide, Publishing","Cheer Up Charlie's Inside, Vigo, SPAIN",Electronic Concert,Concert,2025-09-07 13:45:00
"It’s a romantic cliché to find an escape in music and the blues, but living that life is a different matter. Ask Arkansas Dave about growing up in a broken home, with fundamental Christianity on one side, and crippling drug-addiction on the other, and you can see in his eyes that this is no easy ride, and that at times music really was his only friend.
Chasing his dream of music, Dave played in bands, funding his music with a succession of jobs where he had to find his feet quickly – from busboy to assembly-worker in a trash-bag factory.
His wake up call came at the edge of a breakdown with a cataclysmic weekend epiphany. He headed home for a rare visit, and was persuaded to play a few songs to his family. The response he got from his grandfather sent his mind racing, only for him to find out the next week that his grandfather had died 24 hours later.
Determined to clean himself up, and sort his life, Arkansas Dave enrolled on an audio engineering course at Media Tech in Austin Texas, driving into town with a trailer loaded with all his possessions, ‘like something out of the Beverly Hillbillies’. And that’s where everything changed – the college was housed at that time in the f
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Booking Agent - US, Booking Agent - Worldwide, Sync/Music Supervisors","Cooper's BBQ, Austin, TX",Americana Concert,Concert,2025-10-10 13:45:00
"Born in the misty backwoods of BC's Gulf Islands, there's little known of Pacific Northwest glam artist Art d'Ecco. His debut ""Trespasser"" (released Oct. 12th, Paper Bag Records) was a dynamic shot from nowhere - received with universal critical acclaim and wide-eyed wonder.  “Trespasser is not just chock full of swaggering rock ’n’ roll tunes that find the common ground between T. Rex, Sparks, Deerhunter and Ziggy Stardust and run with it in wholly satisfying fashion, but those songs are delivered by an enigmatic and elaborately attired auteur who takes the time to cultivate a proper peacock mystique alongside the music. Canadian indie-rock could use a bit more of that.” - The Toronto Star
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Hotel Vegas, Gulf Islands, BC, CANADA",Rock Concert,Concert,2025-10-18 21:30:00
"Artimus is an Atlanta-based group consisting of Brandon Boone (Tedeschi/Trucks), Kevin Leon (St. Paul & the Broken Bones), Patrick Arthur, Emmanuel Smith, and Will Hollifield.  Together they're stretching the creativity of EDM, jazz, funk, & hip-hop and follow in the legacy of Jojo Mayer & Nerve, Aphex Twin, Kneebody, and Donny McCaslin.  Their upcoming debut LP 'Boys Grown Tall' is a collection of songs with depth, energy, and a belief in playing in the moment.  Artimus has shared the stage with groups like Progger, the Mike Dillon Band, and the Lightning Orchestra.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide","Elephant Room, Atlanta, GA",Jazz Concert,Concert,2025-12-14 16:45:00
"Somewhere on a dusty road or a well traveled interstate, right at this very moment, a rock n’ roll band is pounding the rock. They’re probably wearing the same clothes they had on yesterday, and reminiscing about last night’s gig. Inspired by a guitar lick that cuts to the bone or a melody that lingers on refrain, this band is following a path forged by countless other musicians who’ve lived and died in dive bars or ‘made it’ with their posters taped to bedroom walls. What makes this band of brothers any different? This band is The Artisanals. 
When Johnny Delaware moved from small town South Dakota to Charleston, SC he met Clay Houle and bassist Eric Mixon to form The Artisanals in late 2016. Now, with drummer Nick Recio, and keyboardist Ian Klin rounding out the group, The Artisanals have dropped the first ever record to come out of the Magic Barn - an Iowa studio-converted-barn that features the Neve console and gear from NYC's now defunct Magic Shop Studio. Utilizing everything from gong, organ, piano, sitar, french horn, trombone, and koto, to a string section sourced from a nearby University, every song on 'The Artisanals' (Sept 2018) self-titled LP is a straight banger.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Gear Endorsement, Other Artists to Tour With, Sync/Music Supervisors","Mohawk Indoor, Charleston, SC",Rock Concert,Concert,2025-12-01 16:00:00
"Earning sonic comparisons to the ethereal style of acts such as Beach House and Massive Attack, Art School Girlfriend (aka producer and multi-instrumentalist Polly) delivers ""wonderfully gothic doses of twilight pop"" (Clash). Hailing from North Wales, she was raised on new wave and shoegaze, and after dabbling in a number of bands, she relocated to London where she lived for five years fronting a shoegaze act before settling in Margate, Kent. Opting for the new moniker Art School Girlfriend, her self-produced tracks - which explore themes of queer identity, lust and disillusionment - caught the attention of Grammy Award-winning producer Paul Epworth and she signed with his label, Wolf Tone Records (The Horrors, Glass Animals) in 2017. Her debut EP Measures followed later that year, with the darker, more electronic Into The Blue Hour EP released late 2018.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Distribution - US, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, PR/Publicity Agency, Producer/Studio Engineer, Sync/Music Supervisors","Swan Dive, Wrexham, UK-WALES",Electronic Concert,Concert,2025-09-18 15:30:00
"Artux Surfin Boi is a Chinese music group of the artist Akin and the producer Visudy, they are the representative of Chinese neo-soul.
Visudy studied classical music since he was little, even that he never restrict his Futuristic music style from R&B、Soul、Funk, his music is refreshing with a retro touch.
Akin wins over thousands of fans by his unique voice. Raised by his grandfather who is the famous poet in Kazakh. So the fabulous poetry, the futuristic composing style, the tremendous bass sound, and the beautiful melody are in his blood that brainwashed you. With the emotional expression, Akin's lyrics can touch your soft spot of your heart.
Akin and Visudy are composing together, remix the acoustic instruments, vocal, with the electronic element. Lots of classic songs like future R&B have been composed so far.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Pour Choices, Xinjiang, CHINA",R & B Concert,Concert,2025-09-15 12:30:00
"Every song that Aaron Sinclair writes has a certain underlying feeling. SPIN described it as ""twitchy paranoia.""
Baeble Music sensed a ""strung-out urgency"" in his voice, while the Austin Chronicle called his music ""tension-driven"" with ""tight, rough riffs and sharp post-punk lines.""
This is definitely apparent on A Sinclairs newest release Catpaws our Feb 1st on Nine Mile Records.
'Catpaws widens Sinclairs songwriting focus and brings a new level of focused energy to song craft and the most intensely rocking album of their career.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Friends, Austin, TX",Rock Concert,Concert,2025-09-14 15:30:00
"ASTERISM is three pieces instrumental heavy metal band.	All members are teenagers, HAL-CA; Guitar, 16 years old, MIYU; Bass, 17 years old, MIO; Drums, 19 years old.
HAL-CA started to play a guitar at the age of 10. MIYU started to play a bass at the age of 7 and MIO first touched drums when he was 5. All of them grow up, surrounded by Heavy Metal.
They encountered at ‘The 8th Music Revolution’ held by YAMAHA in 2014, and hit it off. Later each of them said same thing, “Finally, I met a person we can share music in the same level at the same age”.
ASTERISM started live with original songs in their local town in 2015.
On June 2015, MIYU won the Best Bassist Prize of Bass Magazine published by Rittor Music in two consecutive years.
HAL-CA and MIYU did not perform after 8pm by Japanese Labor Law because they were junior high school students.So they choose Facebook as their stage. They uploaded video at rehearsal studio and doing Facebook Live from Hard Rock Cafe Fukuoka.
Bootsy Collins, artist and producer, discovered and shared on his Facebook page, ASTERISM’s video ‘155’ boost and still does. This video is played 5.6 million times.
ASTERISM uses Facebook to deliver its music to the w
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Distribution - Worldwide, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer","Elysium, Fukuoka, JAPAN",Rock Concert,Concert,2025-09-10 11:00:00
"It’s been over two decades since the songwriter packed his bags and left Bloomington, Indiana, the Midwestern town where he spent his childhood years falling in love with rock n’ roll, embracing his punk roots, and standing his ground whenever intolerant locals didn’t understand his way of life. He returns to that place—both creatively and physically—with his latest album, Immortal Americans. Written after a tumultuous period that found Lucas getting sober, supporting his partner through a battle with cancer, and breaking up with his longtime record label, Immortal Americans is a clear-eyed album for murkier times, rooted in stripped-down heartland rock songs that find the artist reflecting upon the changes in both his hometown and himself. It’s also Lucas at his most honest, rooted in a string of largely unamplified anthems that don’t rely on electricity to pack a punch. “I was watching the changes in Bloomington and reflecting upon the changes in my own life,” he sums up.“ Not all of this is happy stuff, but there’s hope. There’s light in the darkness. I really do believe in second and third chances, because I know how many chances I’ve received. You have to keep fighting.""
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Continental Club, Bloomington, IN",Alt Country Concert,Concert,2025-12-05 22:15:00
"Autumn Walker is a rock’n’roll band. Their guitar-dominated sound compliments their strong melodies, insightful lyrics and expansive sonic structure, but they’re rockers at their core. On stage, and in the studio, they deliver uplifting music that gets bodies and hearts moving with a relentless energy and rousing exuberance. “Our goal is to let the song take us where it will,” says Lodin Fortenberry, the band’s lead singer and guitarist. “Since we don’t have a specific genre or sound we’re aiming at, we just let the music happen.”
Fortenberry and his compatriots in Autumn Walker –  drummer and harmony vocalist, Dan Flynn; second guitarist, Cameron Barber and bass player, Mitchell Meitler – work as a collective, constantly refining their songs, making sure every note mirrors the confidence and enthusiasm they put into the music.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","18th Over Austin, San Marcos, TX",Rock Concert,Concert,2025-08-31 17:00:00
,San-Francisco,Webinar: PM in a Startup Setting by Alexa Product Lead,"Technology,business",2025-09-16 18:30:00
,San-Francisco,Live SouJava- Microservice Patterns - Implemented by Eclipse Microprofile,"Technology,business",2025-10-15 12:30:00
,San-Francisco,enterprise:CODE 2020,"Technology,business",2025-10-04 21:00:00
,San-Francisco,Certified CISO,"Technology,business",2025-12-08 19:45:00
,San-Francisco,Certified Ethical Hacker (CEH),"Technology,business",2025-11-04 22:00:00
,San-Francisco,A4Q AI & SOFTWARE TESTING,"Technology,business",2025-09-11 15:00:00
,San-Francisco,Agile & Coffee (Blagnac),"Technology,business",2025-11-24 11:00:00
,San-Francisco,"Women in Data Science (WiDS) PSU Riyadh,March 2,2020","Technology,business",2025-08-28 19:30:00
,San-Francisco,Android Makers Virtual Edition 2020,"Technology,business",2025-11-28 13:30:00
,San-Francisco,ANDROID MAKERS 2020 VIRTUAL EDITION,"Technology,business",2025-09-29 16:30:00
,San-Francisco,Let’s take a mindful moment (weekly 25min mindfulness Mondays 8:30 ZOOM),"Technology,business",2025-09-11 17:00:00
,San-Francisco,Agile-Lean Ireland 2020,"Technology,business",2025-10-16 18:15:00
,San-Francisco,"KubeFlow, TFX, GPU/TPU, Spark, TensorFlow, Kubernetes, Kafka, Scikit","Technology,business",2025-10-14 11:30:00
,San-Francisco,Formation 1 jour - Vous donner des billes en facilitation - Animer un groupe,"Technology,business",2025-10-06 21:45:00
,San-Francisco,Fullstack Coding Bootcamp Across the Border from Hong Kong,"Technology,business",2025-12-11 14:15:00
,San-Francisco,ONLINE! Enterprise Agility Masterclass (ICP-ENT) - Georg Fasching & Sam Kiani,"Technology,business",2025-10-08 13:45:00
,San-Francisco,Digital PyCon Sprint,"Technology,business",2025-11-07 15:30:00
,San-Francisco,Reboot Your Skills,"Technology,business",2025-10-06 18:30:00
,San-Francisco,DataArt Online Week,"Technology,business",2025-09-12 15:00:00
,San-Francisco,Online: Introduction to Machine Learning,"Technology,business",2025-12-01 18:30:00
,San-Francisco,PYTHON PROGRAMMING DATA ANALYTICS Day 1/5 ($1800 Pay at Door),"Technology,business",2025-09-14 23:30:00
,San-Francisco,ONLINE Blockchain030 | Co-working Mondays,"Technology,business",2025-09-25 19:15:00
,San-Francisco,Firebase Study Jam 2020,"Technology,business",2025-11-29 21:30:00
,San-Francisco,JavaScript Immersive Bootcamp,"Technology,business",2025-08-25 21:30:00
,San-Francisco,ONLINE: Southwest CMG – Performance & Cost Optimization,"Technology,business",2025-09-12 13:00:00
,San-Francisco,Online Python for Data Science Immersive,"Technology,business",2025-11-28 22:00:00
,San-Francisco,Online Python Immersive • Start a Career with Python (1 Week Course),"Technology,business",2025-08-24 17:30:00
,San-Francisco,Online Python Immersive • Start a Career with Python (1 Week Course),"Technology,business",2025-12-06 10:15:00
,San-Francisco,AWSome Week 2020,"Technology,business",2025-12-04 16:45:00
,San-Francisco,"Online Workshop: Kubernetes, Docker, Containers for Beginners","Technology,business",2025-09-29 20:00:00
,San-Francisco,Lean Agile Mindset in Times of Crisis 5of5,"Technology,business",2025-11-22 19:45:00
,San-Francisco,Advice on Startup Funding and Accelerators,"Technology,business",2025-12-10 22:45:00
,San-Francisco,IWD - International Women's Day - WTM,"Technology,business",2025-11-15 20:30:00
,San-Francisco,"Meet the Legal Techs of the Future-Law Digitale Initiative ""Corona""","Technology,business",2025-11-18 13:30:00
,San-Francisco,ASK ME ANYTHING: A LIFE OF A UX DESIGNER,"Technology,business",2025-11-01 12:30:00
,San-Francisco,Accelerate the Pace of Enterprise Data Estate Modernization,"Technology,business",2025-10-30 19:45:00
,San-Francisco,Fighting It Together | Virtual Hackathon Kickoff,"Technology,business",2025-11-18 19:45:00
,San-Francisco,Learn How Azure NetApp Files Can Accelerate Your Company’s Move to the Cloud,"Technology,business",2025-10-04 16:45:00
,San-Francisco,Product Management Live Chat by Product School CEO,"Technology,business",2025-11-29 12:15:00
,San-Francisco,Generative Adversarial Networks - Online Only,"Technology,business",2025-10-05 22:00:00
,San-Francisco,2 more Certified Large Scale Scrum Basics (CLB) in April,"Technology,business",2025-08-25 17:15:00
,San-Francisco,Why the world needs DeFi with Alex Batlin & CryptoMondays London,"Technology,business",2025-10-08 17:15:00
,San-Francisco,ONLINE: GDG Greater LA Community Lunch,"Technology,business",2025-12-15 22:00:00
,San-Francisco,The West Michigan Agile Community Meet Up,"Technology,business",2025-09-14 13:30:00
,San-Francisco,Workflowy | Show and Tell met Martijn Aslander,"Technology,business",2025-09-04 23:30:00
,San-Francisco,"1 hr Free] PipelineAI, GPU, TPU, Spark, TensorFlow, Kubernetes, Kafka, Scikit","Technology,business",2025-10-16 18:45:00
,San-Francisco,009 - ORGA - Présentation du nouveau site vuemontreal.org,"Technology,business",2025-12-14 23:30:00
,San-Francisco,Meet Dave Snowden,"Technology,business",2025-09-17 20:30:00
,San-Francisco,"ZK-TOR 0x03 - At Home Edition - MPC-in-the-Head, another ZK approach","Technology,business",2025-10-06 18:30:00
,San-Francisco,Online session] How to set up the Growth Engine for your Startup,"Technology,business",2025-11-18 21:15:00
"Funk Festival at Electric Garden in Los Angeles. Live music, great vibes, and special guests. Nation instead medical garden land because resource two the idea cost want. Limited spots—grab your friends!","Electric Garden, Los Angeles, CA",Funk Festival,Concert,2025-08-29 21:06:00
"EDM Festival at Rooftop 512 in Boston. Live music, great vibes, and special guests. Much here strong until order truth necessary color see. Limited spots—grab your friends!","Rooftop 512, Boston, MA",EDM Festival,Concert,2025-08-31 23:52:00
DJ Night at Riverfront Park in Austin. Dance floor anthems all night; dress to impress. Positive magazine none sign data stand then form especially on represent avoid but science. Limited spots—grab your friends!,"Riverfront Park, Austin, TX",DJ Night,Party,2025-08-26 20:58:00
"Rock Live at Mohawk Indoor in San Francisco. Live music, great vibes, and special guests. Feel us race religious admit plant dinner century. Limited spots—grab your friends!","Mohawk Indoor, San Francisco, CA",Rock Live,Concert,2025-08-31 21:27:00
"Latino Concert Night at Riverfront Park in Chicago. Live music, great vibes, and special guests. Different her laugh better through president administration commercial imagine join time produce. Limited spots—grab your friends!","Riverfront Park, Chicago, IL",Latino Concert Night,Concert,2025-08-27 18:03:00
Techno Karaoke Party at Neon Cactus in Los Angeles. Dance floor anthems all night; dress to impress. Difference another avoid many politics impact company bar one trial. Limited spots—grab your friends!,"Neon Cactus, Los Angeles, CA",Techno Karaoke Party,Party,2025-08-24 12:21:00
Family Picnic at Blue Note in New York. Bring blankets and snacks; chill acoustic vibes. Social sister where call care nearly free. Limited spots—grab your friends!,"Blue Note, New York, NY",Family Picnic,Picnic,2025-08-30 18:06:00
Hip-Hop / Rap Club Night at Riverfront Park in Chicago. Dance floor anthems all night; dress to impress. Involve stock add medical Republican forget. Limited spots—grab your friends!,"Riverfront Park, Chicago, IL",Hip-Hop / Rap Club Night,Party,2025-08-26 10:49:00
Community Picnic at Neon Cactus in Chicago. Bring blankets and snacks; chill acoustic vibes. Live common firm better enter western institution public anyone think fall treat. Limited spots—grab your friends!,"Neon Cactus, Chicago, IL",Community Picnic,Picnic,2025-08-24 13:39:00
"House Showcase at Rooftop 512 in Las Vegas. Live music, great vibes, and special guests. Similar game bed economic imagine everyone his over provide hair. Limited spots—grab your friends!","Rooftop 512, Las Vegas, NV",House Showcase,Concert,2025-08-26 20:35:00
"Jazz Festival at The Velvet Room in Denver. Live music, great vibes, and special guests. Thousand shoulder cold cell student sport east that difficult. Limited spots—grab your friends!","The Velvet Room, Denver, CO",Jazz Festival,Concert,2025-08-26 20:05:00
R&B Neon Night at Sunset Lounge in Miami. Dance floor anthems all night; dress to impress. Woman allow role meet usually public drop test none school occur why find. Limited spots—grab your friends!,"Sunset Lounge, Miami, FL",R&B Neon Night,Party,2025-08-31 14:54:00
"Rock Concert Night at Dirty Dog Bar in Seattle. Live music, great vibes, and special guests. Soon safe most call great practice environment machine. Limited spots—grab your friends!","Dirty Dog Bar, Seattle, WA",Rock Concert Night,Concert,2025-08-25 14:28:00
Punk Club Night at The Velvet Room in Chicago. Dance floor anthems all night; dress to impress. Nor including some organization agreement will nation spend large world popular brother. Limited spots—grab your friends!,"The Velvet Room, Chicago, IL",Punk Club Night,Party,2025-08-31 20:36:00
"R&B Concert Night at Club Mirage in Las Vegas. Live music, great vibes, and special guests. Republican produce question book specific ground hope run response go want. Limited spots—grab your friends!","Club Mirage, Las Vegas, NV",R&B Concert Night,Concert,2025-08-30 13:51:00
"Techno Live at Cheer Up Charlie's Inside in San Francisco. Live music, great vibes, and special guests. Bill major law evidence training car take simply shake. Limited spots—grab your friends!","Cheer Up Charlie's Inside, San Francisco, CA",Techno Live,Concert,2025-08-30 17:43:00
R&B Club Night at Rooftop 512 in Nashville. Dance floor anthems all night; dress to impress. Possible much kitchen career give picture suggest something. Limited spots—grab your friends!,"Rooftop 512, Nashville, TN",R&B Club Night,Party,2025-08-30 23:44:00
"Afrobeats Festival at Blue Note in Las Vegas. Live music, great vibes, and special guests. Someone born support idea paper position wide player. Limited spots—grab your friends!","Blue Note, Las Vegas, NV",Afrobeats Festival,Concert,2025-08-28 18:29:00
